,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
1289,ホンダ,N-BOX カスタム 660 G L ターボ ホンダセンシング 衝突軽減ブレーキ　ドライブレコーダー,146.5,138.0,ハッチバック,灰,2020,3.3万km,車検整備付,なし,保証付,660CC,東金市,千葉県
1290,ホンダ,N-WGN 660 G スタイリッシュパッケージ メモリーナビ　リアカメラ　フルセグ,80.1,73.8,ハッチバック,茶真珠,2016,5.4万km,2025(R07)年06月,なし,保証付,660CC,熊本市中央区,熊本県
1291,ホンダ,N-BOX 660 カスタムG Lパッケージ 左オートスライド メモリーナビ,56.8,47.8,ハッチバック,真珠白,2017,8.4万km,2024(R06)年06月,あり,保証付,660CC,相模原市中央区,神奈川県
1292,スズキ,ハスラー 660 ハイブリッド X スマートキー LEDライト 届出済未使用車,154.4,147.0,クロカン・ＳＵＶ,黒,2023,5km,2026(R08)年06月,なし,保証付,660CC,掛川市,静岡県
1293,スズキ,ハスラー 660 ハイブリッド X スマートキー LEDライト 届出済未使用車,154.4,147.0,クロカン・ＳＵＶ,緑,2023,5km,2026(R08)年06月,なし,保証付,660CC,掛川市,静岡県
1294,スズキ,ハスラー 660 ハイブリッド X LEDヘッドライト　届出済未使用車,154.4,147.0,クロカン・ＳＵＶ,薄青,2023,5km,2026(R08)年06月,なし,保証付,660CC,掛川市,静岡県
1295,ホンダ,N-ONE 660 オリジナル Gathersメモリーナビ　Rカメラ　ホンダセン,140.1,134.0,ハッチバック,銀,2021,0.3万km,2024(R06)年05月,なし,保証付,660CC,葛飾区,東京都
1296,日産,ルークス 660 ハイウェイスターX プロパイロット エディション 全方位カメラ メモリーナビ 衝突軽減 ETC,130.2,119.8,ハッチバック,真珠,2021,3.3万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
1297,ダイハツ,ミライース L　SAIII キーレスエントリー/スマートアシスト/マ,80.9,74.8,ハッチバック,薄青,2022,1万km,2025(R07)年09月,なし,保証付,660CC,小山市,栃木県
1298,ホンダ,N-WGN 660 カスタムG ターボパッケージ 認定中古車　ワンオーナー　純正8インチナ,76.1,69.8,ハッチバック,紫真珠,2014,3万km,2025(R07)年04月,なし,保証付,660CC,市原市,千葉県
1299,ダイハツ,タント 660 カスタム X SAIII 4WD 衝突軽減システム/社外ナビ/バックカメラ,105,95.9,ハッチバック,真珠白,2018,5.4万km,2024(R06)年05月,なし,保証付,660CC,札幌市清田区,北海道
1300,スズキ,ワゴンR 660 ハイブリッド FX CDチューナー・オートエアコン,69.4,63.0,ハッチバック,銀,2017,5.1万km,車検整備付,なし,保証付,660CC,西彼杵郡,長崎県
1301,ダイハツ,ムーヴ X リミテッドIISAIII シートヒーター　衝突軽減ブレーキ　ETC,113.5,98.8,ハッチバック,白真珠,2021,1.5万km,車検整備無,なし,保証付,660CC,東海市,愛知県
1302,ダイハツ,ミライース 660 L SAIII 禁煙車 スマートアシスト3 純ナビ Pソナー,78.6,69.9,ハッチバック,銀,2019,2.7万km,2024(R06)年02月,なし,保証付,660CC,宮崎市,宮崎県
1303,日産,デイズルークス 660 ハイウェイスター Gターボ 衝突軽減 純正メモリナビ 全方位 両側電動,99.8,90.6,ハッチバック,白真珠,2017,4万km,2024(R06)年09月,なし,保証付,660CC,さいたま市西区,埼玉県
1304,スバル,ステラ 660 G スマートアシスト 4WD 禁煙車/4WD/アクセル踏み間違い防止,110.3,103.6,ハッチバック,茶赤紫,2018,2.1万km,2025(R07)年05月,なし,保証付,660CC,仙台市泉区,宮城県
1305,スズキ,ハスラー 660 Jスタイル ターボ セーフティサポート シートヒーター 禁煙車,169.9,161.7,クロカン・ＳＵＶ,青Ｍ,2022,220km,2025(R07)年09月,なし,保証付,660CC,坂井市,福井県
1306,ホンダ,N-BOX カスタム 660 L ターボ ワンオーナー　メモリーナビ　ETC　リアカ,167.4,159.8,ハッチバック,紺,2022,0.5万km,2025(R07)年09月,なし,保証付,660CC,大阪狭山市,大阪府
1307,スズキ,ハスラー 660 G 禁煙　ナビ　衝突軽減　シートヒーター,79.9,72.4,クロカン・ＳＵＶ,薄銀,2015,1.3万km,2024(R06)年05月,なし,保証付,660CC,宮崎市,宮崎県
1308,三菱,eKワゴン 660 M CDプレーヤー付き,104.8,99.8,ハッチバック,薄青,2021,0.7万km,2024(R06)年12月,なし,保証付,660CC,諫早市,長崎県
1309,日産,ルークス 660 ハイウェイスターGターボ プロパイロット エディション 4年保証付き/アラウンドビュー/USBソケット,147.8,137.8,ハッチバック,青Ｍ,2020,2.9万km,車検整備付,なし,保証付,660CC,筑紫野市,福岡県
1310,ホンダ,N-BOX カスタム 660 G EX ホンダセンシング ワンオーナー　ナビ　リアカメラ　ドラレコ,108.5,99.0,ハッチバック,茶,2018,5.6万km,車検整備付,なし,保証付,660CC,和泉市,大阪府
1311,ダイハツ,ムーヴ 660 X リミテッドII SAIII 届出済み未使用車・バックカメラ,119.8,111.8,ハッチバック,白,2023,4km,2026(R08)年03月,なし,保証付,660CC,奈良市,奈良県
1312,ホンダ,N-BOX 660 G L ホンダセンシング 2トーン　7型ナビ　左電動スライドドア　充,104.1,97.8,ハッチバック,赤真珠,2019,3.3万km,2024(R06)年08月,なし,保証付,660CC,枚方市,大阪府
1313,スズキ,アルトラパン 660 G 衝突軽減B スマートキー 障害物センサー,99.9,92.8,ハッチバック,青Ｍ,2020,2.2万km,車検整備付,なし,保証付,660CC,松山市,愛媛県
1314,日産,デイズ 660 X 360カメラ 衝突軽減 ナビTV Bluetooth ETC,60.2,49.8,ハッチバック,薄青,2019,3万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
1315,スズキ,ワゴンR 660 ハイブリッド FX 衝突被害軽減ブレーキ　スマートキー,99.9,89.9,ハッチバック,黄,2021,0.4万km,2024(R06)年05月,なし,保証付,660CC,糟屋郡,福岡県
1316,ダイハツ,ムーヴキャンバス 660 ストライプス X 届出済み未使用車　衝突被害軽減ブレーキ,134.9,124.9,ハッチバック,白桃Ｍ,2022,20km,2025(R07)年08月,なし,保証無,660CC,飯塚市,福岡県
1317,スズキ,ハスラー 660 ハイブリッド G 届出済未使用車 デュアルカメラブレーキ,139.9,131.0,クロカン・ＳＵＶ,黄,2023,4km,2026(R08)年10月,なし,保証付,660CC,彦根市,滋賀県
1318,ダイハツ,タント 660 カスタム X SA 純正メモリナビ 片側パワスラ,80.8,71.1,ハッチバック,茶,2014,3.9万km,2025(R07)年04月,なし,保証付,660CC,岐阜市,岐阜県
1319,スズキ,スペーシア 660 G ワンオ-ナ- フルセグナビ Bluetooth,63.8,58.0,ハッチバック,銀,2016,5.4万km,車検整備付,なし,保証付,660CC,北九州市小倉南区,福岡県
1320,ホンダ,N-WGN カスタム 660 L ホンダ センシング ホンダ認定2年保証付　ドラレコ　ナビ,138.5,132.0,ハッチバック,黒真珠,2022,0.7万km,2025(R07)年07月,なし,保証付,660CC,船橋市,千葉県
