,maker,car_name,prices,base_price,trim,color,year,milage,permit_validity,repair_history,guarantee,engine_size,city,prefecture
0,ダイハツ,ミライース 660 B 4WD WEB商談可 届出済未使用車 4WD,94.9,89.3,ハッチバック,白,2023,25km,2026(R08)年08月,なし,保証付,660CC,青森市,青森県
1,三菱,eKワゴン 660 M 衝突軽減B シートヒーター 届出済未使用車,98.9,89.9,ハッチバック,桃,2023,10km,2026(R08)年03月,なし,保証付,660CC,豊田市,愛知県
2,スズキ,アルト 660 A 4WD 届出済未使用車横滑防止機能シートヒーター,99.2,90.2,ハッチバック,銀,2023,15km,2026(R08)年04月,なし,保証付,660CC,北見市,北海道
3,ダイハツ,タント 660 L 4WD 届出済未使用車横滑防止機能シートヒーター,157.7,150.2,ハッチバック,薄茶,2023,15km,2026(R08)年03月,なし,保証付,660CC,北見市,北海道
4,ホンダ,N-ONE 660 RS 6MT・2トーン・シートヒーター・15AW,189.9,181.0,ハッチバック,白黒,2023,2km,新車未登録,なし,保証付,660CC,舞鶴市,京都府
5,スズキ,ワゴンR 660 ハイブリッド FX ,94.9,86.7,ハッチバック,茶,2022,0.5万km,2025(R07)年08月,なし,保証付,660CC,丸亀市,香川県
6,ダイハツ,ミライース 660 G SAIII 社外SDナビ バックカメラ 衝突軽減,97.6,84.8,ハッチバック,白真珠,2022,0.6万km,2024(R06)年07月,なし,保証付,660CC,名古屋市緑区,愛知県
7,スズキ,アルトラパン 660 G 届出済未使用車,109.9,101.8,ハッチバック,白,2022,3km,2025(R07)年06月,なし,保証付,660CC,岡山市南区,岡山県
8,スズキ,アルトラパン LC 660 L 届出済未使用車,129.9,121.7,ハッチバック,桃,2022,6km,2025(R07)年11月,なし,保証付,660CC,高松市,香川県
9,スズキ,ワゴンR 660 FA 5速MT CDオーディオ 電格ミラー キーレス,68.5,59.8,ハッチバック,赤,2021,2.6万km,2024(R06)年03月,なし,保証付,660CC,野洲市,滋賀県
10,三菱,eKワゴン 660 M 衝突軽減B キーレス アイドリングストップ,89.9,83.4,ハッチバック,茶Ｍ,2021,0.6万km,2024(R06)年05月,なし,保証付,660CC,相楽郡,京都府
11,ダイハツ,ムーヴ 660 L SAIII 衝突軽減B アームレストBOX アイドリングS,92.7,86.7,ハッチバック,茶,2021,0.5万km,2024(R06)年06月,なし,保証付,660CC,高知市,高知県
12,ホンダ,N-WGN 660 L ホンダ センシング 衝突軽減B スマートキー LEDヘッドライト,99.7,93.0,ハッチバック,青真珠,2021,1万km,2024(R06)年09月,なし,保証付,660CC,京都市南区,京都府
13,日産,ルークス 660 S 衝突軽減B 両側スライドドア アイドリングS,99.8,92.2,ハッチバック,黒,2021,0.4万km,車検整備付,なし,保証付,660CC,神戸市灘区,兵庫県
14,スズキ,アルトラパン 660 G ディスプレイオーディオ付,99.9,91.8,ハッチバック,薄茶,2021,1.1万km,2024(R06)年08月,なし,保証付,660CC,岡山市南区,岡山県
15,ホンダ,N-WGN 660 G ホンダ センシング ナビ バックカメラ ETC,100.8,88.8,ハッチバック,黒,2021,2万km,車検整備付,なし,保証付,660CC,名古屋市緑区,愛知県
16,日産,デイズ 660 ハイウェイスターX 当社社用車・ハイビームアシスト・Mナビ,104,95.0,ハッチバック,赤,2021,2万km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
17,ホンダ,N-BOX 660 L 衝突軽減 片側電動スライド 電動パーキング,104.1,94.8,ハッチバック,緑,2021,1.7万km,2024(R06)年12月,なし,保証付,660CC,野洲市,滋賀県
18,日産,デイズ 660 ハイウェイスターX 全周囲カメラ 衝突被害軽減 踏み間違い防止,108.9,99.9,ハッチバック,真珠白,2021,1.9万km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
19,日産,デイズ 660 ハイウェイスターX 全周囲カメラ・純正ナビ・ETC・踏み間違い,111.5,102.5,ハッチバック,赤黒II,2021,2.2万km,車検整備付,なし,保証付,660CC,甲賀市,滋賀県
20,日産,デイズ 660 ハイウェイスターX プロパイロット エディション 前後ドラレコ プロパイロット ワンオーナー,113.5,104.5,ハッチバック,青,2021,1.5万km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
21,日産,デイズ 660 ハイウェイスターX メモリーナビ・バックカメラ・LEDライト,113.7,104.8,ハッチバック,真珠白,2021,1.9万km,車検整備付,なし,保証付,660CC,栗東市,滋賀県
22,日産,デイズ 660 ハイウェイスターX 全周囲カメラ 衝突被害軽減B 車線逸脱警報,114.3,105.3,ハッチバック,青,2021,1.8万km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
23,日産,デイズ 660 X 衝突軽減B 全方位カメラ USB スマートキー,80.2,69.8,ハッチバック,桃,2020,0.7万km,車検整備無,なし,保証付,660CC,茨木市,大阪府
24,スズキ,ワゴンR 660 FA レンタUP・社外CDチューナー・ETC付,83.5,79.0,ハッチバック,白真珠,2020,1.9万km,2024(R06)年11月,なし,保証付,660CC,福岡市西区,福岡県
25,三菱,eKワゴン 660 G 衝突被害軽減ブレーキ・障害物センサー,90.4,86.0,ハッチバック,薄青,2020,1.5万km,2024(R06)年11月,なし,保証付,660CC,福岡市南区,福岡県
26,三菱,eKワゴン 660 G レンタカーUP　衝突軽減ブレーキ付,91.6,86.0,ハッチバック,茶Ｍ,2020,1.5万km,2024(R06)年11月,なし,保証付,660CC,糸島市,福岡県
27,日産,デイズ 660 X 衝突軽減B　純正CDデッキ アイドリングS,91.7,83.9,ハッチバック,黒,2020,0.7万km,車検整備付,なし,保証付,660CC,高知市,高知県
28,日産,デイズ 660 X 前後ドラレコ 全周囲カメラ ワンオーナー,94,85.0,ハッチバック,銀,2020,417km,車検整備付,なし,保証付,660CC,彦根市,滋賀県
29,日産,デイズ 660 ボレロ ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,94.9,85.0,ハッチバック,桃白II,2020,1.2万km,2025(R07)年02月,なし,保証付,660CC,川口市,埼玉県
30,日産,デイズ 660 ハイウェイスターX LEDヘッドライト　全周囲カメラ,104,95.0,ハッチバック,赤,2020,1.3万km,車検整備付,なし,保証付,660CC,草津市,滋賀県
31,スズキ,ワゴンR 660 ハイブリッド FZ 全方位カメラ付　Bluetooth付ナビ　ETC,104.6,99.0,ハッチバック,深銀Ｍ,2020,1.4万km,2024(R06)年11月,なし,保証付,660CC,糸島市,福岡県
32,スズキ,ワゴンR 660 ハイブリッド FZ 衝突被害軽減ブレーキ・障害物センサー,106.4,102.0,ハッチバック,真珠白,2020,2.2万km,2024(R06)年11月,なし,保証付,660CC,福岡市南区,福岡県
33,スズキ,ワゴンR 660 スティングレー ハイブリッド X CDチューナー付,110.2,103.0,ハッチバック,白,2020,2万km,車検整備付,なし,保証付,660CC,福岡市西区,福岡県
34,ホンダ,N-BOX 660 G L ホンダセンシング ワンオーナー車　ギャザスメモリーナビ　ホ,116.5,109.8,ハッチバック,黒真珠,2020,1.5万km,2025(R07)年04月,なし,保証付,660CC,奈良市,奈良県
35,ホンダ,N-BOX 660 G L ホンダセンシング 4WD ワンオーナー　純正メモリーナビ　ドラレコ,135.3,129.0,ハッチバック,茶真珠,2020,2.3万km,2025(R07)年03月,なし,保証付,660CC,札幌市厚別区,北海道
36,マツダ,フレアクロスオーバー HYBRID　XS ナビ　アラウンドビューモニター,141.4,134.8,クロカン・ＳＵＶ,黄,2020,1.7万km,2025(R07)年07月,なし,保証付,650CC,福岡市博多区,福岡県
37,スズキ,エブリイワゴン 660 PZターボスペシャル ワンオーナー　リヤ5面フィルム施工車,142,135.0,ハッチバック,紫,2020,2万km,車検整備付,なし,保証付,660CC,福津市,福岡県
38,ダイハツ,ミライース 660 L SAIII キーレスキーオーディオエコアイドル保証付,39.6,29.8,ハッチバック,真珠白,2019,6万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
39,日産,デイズ 660 X 雹害 360カメラ 衝突軽減 純正オーディオ,40.2,29.8,ハッチバック,青,2019,2.7万km,車検整備付,なし,保証付,660CC,茨木市,大阪府
40,日産,デイズ 660 J ナビTV Bluetooth ETC 衝突被害軽減ブレ-キ,49.5,39.8,ハッチバック,黒,2019,6.8万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
41,スズキ,アルト 660 L ディスプレイオーディオ ドラレコ アルミ,54.5,44.8,ハッチバック,銀,2019,6.3万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
42,ダイハツ,タント 660 G SAIII 660G SAIII　衝突軽減ブレーキ　横滑り防止,64.7,54.8,ハッチバック,銀,2019,8.4万km,車検整備付,なし,保証付,660CC,糟屋郡,福岡県
43,日産,NV100クリッパー 660 DX セーフティパッケージ ハイルーフ 5AGS車 ※冬ボ ー ナ ス 特 価※ 衝突軽減B,64.9,55.0,ハッチバック,銀Ｍ,2019,4.8万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
44,スズキ,スペーシア 660 ハイブリッド G 4WD スマートキーレーンキープアシスト保証付き,77.2,67.4,ハッチバック,青,2019,5.3万km,2024(R06)年06月,なし,保証付,660CC,高砂市,兵庫県
45,スバル,ステラ 660 L スマートアシスト ナビ 衝突軽減ブレーキ バックカメラ,78,65.8,ハッチバック,黒,2019,2.8万km,車検整備付,なし,保証付,660CC,名古屋市緑区,愛知県
46,ダイハツ,ムーヴ 660 X リミテッド SAIII 衝突軽減B 社外ナビ Bカメラ LEDライト,83.4,76.9,ハッチバック,赤Ｍ,2019,4.1万km,2024(R06)年01月,なし,保証付,660CC,久世郡,京都府
47,ホンダ,N-BOX カスタム 660 G L ホンダセンシング スマートキー両側電動スライドドア保証付き,84.7,74.9,ハッチバック,黒,2019,8.1万km,2024(R06)年05月,なし,保証付,660CC,高砂市,兵庫県
48,日産,デイズ 660 ハイウェイスターX 全周囲カメラ・純正ナビドラレコ・ETC,86.3,79.9,ハッチバック,白橙II,2019,6.7万km,2024(R06)年06月,なし,保証付,660CC,甲賀市,滋賀県
49,日産,デイズルークス 660 X Vセレクション ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,89.9,79.0,ハッチバック,灰桃II,2019,1万km,2024(R06)年06月,なし,保証付,660CC,川口市,埼玉県
50,スズキ,スペーシア 660 ハイブリッド X CD 衝突軽減 両パワスラ ETC 整備保証付,89.9,79.9,ハッチバック,白真珠,2019,6.1万km,車検整備付,なし,保証付,660CC,千葉市中央区,千葉県
51,ホンダ,N-WGN 660 G Lパッケージ 4WD バックカメラ・ディスプレイオーディオ・シ,93,85.0,ハッチバック,青,2019,3.9万km,車検整備付,なし,保証付,660CC,千歳市,北海道
52,ホンダ,N-ONE 660 スタンダード ローダウン L フルセグナビ　ドラレコ　禁煙車　ETC,95.1,87.0,ハッチバック,白真珠,2019,3.2万km,車検整備付,なし,保証付,660CC,川崎市川崎区,神奈川県
53,日産,デイズルークス 660 X Vセレクション I0512,95.5,88.0,ハッチバック,緑,2019,2万km,車検整備付,なし,保証付,660CC,京都市南区,京都府
54,ホンダ,N-BOX 660 G L ホンダセンシング スマートキーエコアイドル保証付き,95.7,85.9,ハッチバック,真珠,2019,2.6万km,2024(R06)年06月,なし,保証付,660CC,高砂市,兵庫県
55,日産,デイズ 660 ハイウェイスターX 大型ナビETCドラレコLEDヘッドライト,95.7,88.9,ハッチバック,茶,2019,4.4万km,2024(R06)年09月,なし,保証付,660CC,大津市,滋賀県
56,ホンダ,N-BOX 660 G L ターボ ホンダセンシング ワンオーナー　CDコンポ　ETC　ワンセグ,99.3,89.8,ハッチバック,白真珠,2019,4.1万km,車検整備付,なし,保証付,660CC,堺市西区,大阪府
57,ダイハツ,タント 660 X VS SAIII 衝突軽減B 両側自動ドア LEDヘッドライト,99.9,93.4,ハッチバック,銀Ｍ,2019,4.3万km,2024(R06)年01月,なし,保証付,660CC,松山市,愛媛県
58,ホンダ,N-WGN 660 G Lパッケージ 4WD 純正メモリーナビ・フルセグTV・バックカメ,103,95.0,ハッチバック,緑真珠,2019,3.4万km,車検整備付,なし,保証付,660CC,千歳市,北海道
59,日産,デイズ 660 ハイウェイスターX プロパイロット エディション 全周囲カメラ・純正ナビドラレコ・ETC,105.2,98.8,ハッチバック,赤黒II,2019,2.1万km,2024(R06)年06月,なし,保証付,660CC,甲賀市,滋賀県
60,日産,デイズ 660 ハイウェイスターGターボ 9インチナビ・全方位カメラ・ワンオーナー,109.7,104.9,ハッチバック,紫,2019,3.4万km,2024(R06)年06月,なし,保証付,660CC,武雄市,佐賀県
61,スズキ,ジムニー 660 XC 4WD フルセグナビ　前後ドラレコ　ETC,173.7,169.0,クロカン・ＳＵＶ,青,2019,2.2万km,2024(R06)年11月,なし,保証付,660CC,福津市,福岡県
62,マツダ,キャロル 660 GL シートヒーター アイドリングストップ CD,38.9,29.8,ハッチバック,茶,2018,4.1万km,2024(R06)年08月,なし,保証付,660CC,茨木市,大阪府
63,スズキ,アルト 660 F オートギヤシフト CD再生 キーレスキー 禁煙車,39.5,29.8,ハッチバック,白,2018,5.2万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
64,日産,デイズ 660 J 禁煙車 日産純正オーディオCD 14インチ,40.2,29.8,ハッチバック,銀,2018,2.5万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
65,日産,デイズ 660 J 衝突軽減 Cソナー キーレスキー 電格ミラー,45.2,34.8,ハッチバック,銀,2018,3.4万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
66,三菱,eKワゴン 660 E eアシスト ナビTV ETC キ-レスキ- 被害軽減ブレ-キ,49.5,39.8,ハッチバック,銀,2018,4.9万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
67,ダイハツ,ミライース 660 L SAIII キーレスキーナビ付きバックカメラ保証付き,49.6,39.8,ハッチバック,茶,2018,5.3万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
68,三菱,eKワゴン 660 E ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,49.9,39.0,ハッチバック,桃銀Ｍ,2018,1.8万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
69,スズキ,アルト 660 L レーダーブレーキサポート装着車 衝突被害軽減ブレーキ　シートヒーター,54.7,49.0,ハッチバック,青,2018,5.5万km,車検整備付,なし,保証付,660CC,大分市,大分県
70,ダイハツ,ミライース 660 X SAIII ナビ付Bluetooth付バックカメラ保証付き,59.6,49.8,ハッチバック,薄青,2018,3.2万km,2023(R05)年12月,なし,保証付,660CC,高砂市,兵庫県
71,スズキ,ワゴンR 660 ハイブリッド FX スマートキーオーディオ保証付き,59.6,49.8,ハッチバック,青,2018,4.3万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
72,ホンダ,N-WGN 660 C キーレスキーナビ付きエコアイドル保証付き,59.6,49.8,ハッチバック,白,2018,2.2万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
73,ダイハツ,キャスト スタイル 660 G SAIII ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,69.9,59.0,ハッチバック,濃緑Ｍ,2018,5.4万km,2025(R07)年01月,なし,保証付,660CC,川口市,埼玉県
74,トヨタ,ピクシスジョイ C 660 G SAIII プライムコレクション ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,74.9,65.0,ハッチバック,赤銀Ｍ,2018,2.8万km,2025(R07)年01月,なし,保証付,660CC,川口市,埼玉県
75,ホンダ,N-BOX 660 G EX ホンダセンシング 衝突軽減　クルコン　LEDヘッドライト　ETC,78.4,69.8,ハッチバック,桃,2018,2万km,2023(R05)年12月,なし,保証付,660CC,野洲市,滋賀県
76,ダイハツ,タント 660 L 社外ナビ TV キーレス 両側スライドドア,79,71.0,ハッチバック,銀Ｍ,2018,2.1万km,車検整備付,なし,保証付,660CC,相楽郡,京都府
77,スズキ,ハスラー 660 G 安全ブレーキ PUSHスタート スマートキー,79.7,69.8,クロカン・ＳＵＶ,緑,2018,2.4万km,2025(R07)年12月,なし,保証付,660CC,茨木市,大阪府
78,日産,デイズルークス 660 ハイウェイスターX Vセレクション ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,89.9,79.0,ハッチバック,黒金II,2018,2.3万km,2023(R05)年12月,なし,保証付,660CC,川口市,埼玉県
79,ホンダ,N-BOX 660 G EX ホンダセンシング 4WD 純正7型ナビ・純正ドラレコ・純正エンスタ,90.2,82.8,ハッチバック,緑,2018,8.2万km,車検整備付,なし,保証付,660CC,札幌市東区,北海道
80,日産,デイズルークス 660 X Vセレクション ナビTV　前後ドラレコ　　H0161,93.5,86.0,ハッチバック,黒,2018,1.8万km,車検整備付,なし,保証付,660CC,京都市南区,京都府
81,日産,デイズルークス 660 ライダー ハイウェイスター Gターボベース 全周囲カメラ 両側電動スライド 純正ナビ,96.2,89.0,ハッチバック,深銀Ｍ,2018,4.2万km,2025(R07)年03月,なし,保証付,660CC,彦根市,滋賀県
82,日産,デイズルークス 660 ハイウェイスターX Vセレクション 全周囲カメラ・メモリー両側オートスライド,97.2,87.8,ハッチバック,銀,2018,2.3万km,車検整備付,なし,保証付,660CC,甲賀市,滋賀県
83,日産,デイズルークス 660 ハイウェイスター Gターボ 衝突被害軽減ブレーキ・ナビ・ETC付,101.5,95.0,ハッチバック,灰,2018,3.1万km,2025(R07)年08月,なし,保証付,660CC,京都市伏見区,京都府
84,日産,デイズ 660 J 衝突軽減 純正オーディオ キーレスキー ABS,35.2,24.8,ハッチバック,銀,2017,2.8万km,2024(R06)年02月,なし,保証付,660CC,野洲市,滋賀県
85,ダイハツ,ミライース 660 X SAIII キーレスキーナビ付きエコアイドル保証付き,49.6,39.8,ハッチバック,銀,2017,5.1万km,2024(R06)年07月,なし,保証付,660CC,高砂市,兵庫県
86,日産,デイズ 660 J 衝突軽減ブレーキ　横滑り防止 ETCキーレス,54.7,44.8,ハッチバック,白,2017,4.9万km,車検整備付,なし,保証付,660CC,糟屋郡,福岡県
87,スズキ,アルトラパン 660 L フルセグナビ　ETC,59.6,55.0,ハッチバック,桃,2017,8.6万km,2024(R06)年09月,なし,保証付,660CC,福津市,福岡県
88,スズキ,ワゴンR 660 FA 純正CDデッキ キーレスキー 社外アルミ,59.9,53.2,ハッチバック,青Ｍ,2017,3.9万km,車検整備付,なし,保証付,660CC,津市,三重県
89,三菱,eKワゴン 660 G Bluetooth付フルセグナビ　三菱認定保証,60.7,55.0,ハッチバック,赤Ｍ,2017,4.9万km,2024(R06)年09月,なし,保証付,660CC,糸島市,福岡県
90,日産,デイズルークス 660 X Vセレクション ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,64.9,55.0,ハッチバック,桃銀Ｍ,2017,5.7万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
91,日産,デイズルークス 660 X 安全ブレーキ 両側スライド 純正ナビ BT,75.2,64.8,ハッチバック,桃白II,2017,3万km,車検整備付,なし,保証付,660CC,野洲市,滋賀県
92,スズキ,アルトラパン 660 L ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,79.9,69.0,ハッチバック,青緑Ｍ,2017,0.3万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
93,日産,デイズルークス 660 X Vセレクション 純正ナビ AVM 両側電動スライドドア,84.5,77.9,ハッチバック,桃,2017,1.3万km,2024(R06)年06月,なし,保証付,660CC,高知市,高知県
94,ダイハツ,ミラココア 660 X スマートキーオーディオ保証付き,39.6,29.8,ハッチバック,桃,2016,6.3万km,2025(R07)年03月,なし,保証付,660CC,高砂市,兵庫県
95,マツダ,フレア 660 XG CD iストップ キーレス 14AW 整備保証付,47.9,37.9,ハッチバック,青黒,2016,1.9万km,車検整備付,なし,保証付,660CC,市原市,千葉県
96,ダイハツ,ミライース 660 X リミテッド SA ※冬ボ ー ナ ス 特 価※ 衝突軽減B,49.9,39.0,ハッチバック,赤,2016,1.9万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
97,三菱,eKスペース 660 E カロッツェリア社外ナビ ETC TV キーレス,49.9,41.8,ハッチバック,茶真珠,2016,4.1万km,車検整備付,なし,保証付,660CC,津市,三重県
98,ダイハツ,キャスト アクティバ 660 G SAII ※期 間 限 定 ドラレコ プ レ ゼ ン ト※,59.9,49.0,ハッチバック,青銀Ｍ,2016,5.7万km,2025(R07)年02月,なし,保証付,660CC,川口市,埼玉県
99,日産,デイズルークス 660 X Vセレクション 全周囲カメラ・純正ナビ・両側電動スライド,60,52.8,ハッチバック,銀,2016,3.8万km,2025(R07)年08月,なし,保証付,660CC,甲賀市,滋賀県
100,ダイハツ,ハイゼットトラック 660 スタンダード 3方開 5速マニュアル車　エアコン・パワステ,69.8,64.2,トラック,白,2016,1.3万km,2024(R06)年06月,なし,保証付,660CC,綾歌郡,香川県
101,ダイハツ,キャスト アクティバ 660 Gターボ SAII ※特 別 低 金 利 対 象 車※ 衝突軽減B,79.9,69.0,ハッチバック,緑白II,2016,2.6万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
102,ホンダ,N-BOX 660 カスタムG ターボ Lパッケージ ,98.6,88.8,ハッチバック,紫,2016,3.7万km,車検整備付,なし,保証付,660CC,橿原市,奈良県
103,スズキ,アルト ワークス 660 ETC・ナビ・オートライト・スマートキー,99,91.9,ハッチバック,深銀Ｍ,2016,8.9万km,2024(R06)年12月,なし,保証付,660CC,熊本市東区,熊本県
104,日産,モコ 660 X ナビTV Bluetooth バックカメラ ETC,34.5,24.8,ハッチバック,薄青,2015,7.7万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
105,スズキ,アルト 660 L CD iストップ シートH 13AW ETC 整備保証付,37.9,27.9,ハッチバック,赤,2015,3.9万km,車検整備付,なし,保証付,660CC,千葉市中央区,千葉県
106,ダイハツ,タント 660 X スマートキーナビ付きバックカメラ保証付き,39.6,29.8,ハッチバック,黄,2015,5.9万km,2024(R06)年07月,あり,保証無,660CC,高砂市,兵庫県
107,ダイハツ,ミラココア 660 L キーレスキーオーディオエコアイドル保証付,39.6,29.8,ハッチバック,茶,2015,5.8万km,2024(R06)年09月,なし,保証付,660CC,高砂市,兵庫県
108,三菱,eKワゴン 660 E eアシスト ナビTV ETC 衝突被害軽減ブレーキ,44.5,34.8,ハッチバック,黒,2015,3.7万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
109,ダイハツ,ミライース 660 L スマートセレクション SA ※冬ボ ー ナ ス 特 価※ 衝突軽減B,29.9,19.0,ハッチバック,茶黒銀,2014,5.5万km,車検整備付,なし,保証付,660CC,川口市,埼玉県
110,ダイハツ,ミラココア 660 L 修復歴なしCD iストップ キーレス バイザー,29.9,19.9,ハッチバック,桃真珠,2014,8.5万km,車検整備付,なし,保証付,660CC,山武市,千葉県
111,スズキ,ワゴンR 660 FX-E ナビTV ETC キーレスキー 禁煙車,34.5,24.8,ハッチバック,白,2014,7万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
112,スズキ,ワゴンR 660 スティングレー T ナビTV Bluetooth スマ-トキ- 純正アルミ,34.5,27.8,ハッチバック,黒,2014,9.9万km,2025(R07)年05月,なし,保証付,660CC,姫路市,兵庫県
113,スズキ,MRワゴン 660 L ナビ バックカメラ プッシュスタート ETC,35.5,24.9,ハッチバック,桃,2014,9.1万km,車検整備付,なし,保証付,660CC,桜井市,奈良県
114,スズキ,MRワゴン 660 L ナビTV DVD再生 CD録音 ETC スマートキー,39.5,29.8,ハッチバック,黒,2014,6.1万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
115,日産,モコ 660 X ナビTV Bluetooth iストップ 整備保証付,39.9,34.9,ハッチバック,薄茶Ｍ,2014,4.9万km,2025(R07)年01月,なし,保証付,660CC,市原市,千葉県
116,ダイハツ,ミラココア 660 プラス X スマートキー純正オーディオ盗難防止,44.6,34.8,ハッチバック,象牙,2014,5.7万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
117,三菱,eKスペース 660 G 両側電動スライドドア・バックカメラ,44.6,37.0,ハッチバック,金,2014,2.2万km,2025(R07)年05月,なし,保証付,660CC,熊本市東区,熊本県
118,スズキ,ワゴンR 660 20周年記念車 1オーナー ナビ 衝突軽減 15AW 整備保証付,44.9,39.9,ハッチバック,赤真珠,2014,3.6万km,2025(R07)年02月,なし,保証付,660CC,千葉市中央区,千葉県
119,トヨタ,ピクシススペース 660 カスタム G ナビTV Bluetooth バックカメラ 禁煙車,49.5,39.8,ハッチバック,茶,2014,5.5万km,車検整備付,なし,保証付,660CC,姫路市,兵庫県
120,ダイハツ,タント 660 G CD 両パワスラ iストップ ETC 整備保証付,49.9,39.9,ハッチバック,赤,2014,6.5万km,車検整備付,なし,保証付,660CC,千葉市中央区,千葉県
121,日産,モコ 660 X 1年保証,56.7,49.8,ハッチバック,青,2014,2.7万km,2025(R07)年08月,なし,保証付,660CC,三田市,兵庫県
122,ホンダ,N-BOX 660 G SSパッケージ 両側電動スライドドアエコアイドル保証付き,59.6,49.8,ハッチバック,黒,2014,4.7万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
123,ダイハツ,タント 660 カスタム RS スマートキーナビ付Bluetooth付純正アルミ,64.6,54.8,ハッチバック,黒黒,2014,6.4万km,車検整備付,なし,保証付,660CC,高砂市,兵庫県
124,ホンダ,N-ONE 660 プレミアム ツアラー Lパッケージ ワンオーナー　メモリーナビ　ETC　リアカ,66.5,59.8,ハッチバック,黒,2014,4万km,2025(R07)年02月,なし,保証付,660CC,箕面市,大阪府
125,ホンダ,N-BOX+ 660 カスタムG ターボAパッケージ ナビ 衝突軽減 Bカメラ 両パワスラ ETC,74.9,64.9,ハッチバック,黒,2014,4.3万km,車検整備付,なし,保証付,660CC,千葉市中央区,千葉県
126,日産,デイズルークス 660 X Vセレクション +SafetyII ナビ 衝突軽減 全方位カメラ 整備保証付,39.9,34.9,ハッチバック,紺真珠,2015,9万km,2024(R06)年06月,なし,保証付,660CC,山武市,千葉県
127,マツダ,キャロル 660 ハイブリッド GX 社外CDデッキETCシートヒーターLEDライト,105.1,99.7,ハッチバック,真珠白,2023,0.3万km,2026(R08)年02月,なし,保証付,660CC,倉敷市,岡山県
128,ダイハツ,ミライース 660 L 4WD 届出済未使用車キーレスデジタルメーター,107.6,100.2,ハッチバック,銀,2023,23km,2026(R08)年05月,なし,保証付,660CC,北見市,北海道
129,ホンダ,N-WGN 660 G 届出済未使用車,109.9,101.7,ハッチバック,黒,2023,4km,2026(R08)年03月,なし,保証付,660CC,高松市,香川県
130,スバル,ステラ 660 G スマートアシスト 衝突被害軽減システム　バックカメラ,119.8,111.8,ハッチバック,黒,2023,6km,2026(R08)年02月,なし,保証付,660CC,奈良市,奈良県
131,スズキ,アルトラパン 660 G DA 衝突軽減 ETC ドラレコ シートヒーター,119.9,111.3,ハッチバック,茶Ｍ,2023,0.5万km,2026(R08)年06月,なし,保証付,660CC,高知市,高知県
132,ダイハツ,タント 660 L 届出済未使用車,119.9,111.5,ハッチバック,白,2023,5km,2026(R08)年06月,なし,保証無,660CC,岡山市中区,岡山県
133,日産,ルークス 660 S ,119.9,111.6,ハッチバック,茶,2023,112km,2025(R07)年03月,なし,保証付,660CC,岡山市中区,岡山県
134,日産,ルークス 660 X ,119.9,111.6,ハッチバック,茶,2023,134km,2025(R07)年03月,なし,保証付,660CC,高松市,香川県
135,日産,ルークス 660 S ,119.9,111.7,ハッチバック,茶,2023,8km,2025(R07)年03月,なし,保証付,660CC,岡山市中区,岡山県
136,日産,ルークス 660 S ,119.9,111.7,ハッチバック,黒,2023,110km,2025(R07)年03月,なし,保証付,660CC,岡山市中区,岡山県
137,ダイハツ,ムーヴキャンバス 660 ストライプス G ブレーキサポート 両側オートスライド,121.8,109.8,ハッチバック,桃II,2023,0.3万km,2026(R08)年01月,なし,保証付,660CC,高崎市,群馬県
138,スズキ,アルトラパン 660 L BTオーディオLEDライト届出済未使用車,125,119.9,ハッチバック,茶,2023,12km,2026(R08)年06月,なし,保証付,660CC,横浜市保土ヶ谷区,神奈川県
